"Rank","Country","Total_Earnings","Number_of_Players","Top_Game","Earnings_From_Top_Game","Percent_From_Top_Game"
1,"China","$319,027,143.75","9,009 Players","Dota 2","$85,737,773.44","26.87%"
2,"United States","$287,352,963.27","28,021 Players","Fortnite","$49,472,179.53","17.22%"
3,"Korea","$151,388,321.51","5,882 Players","League of Legends","$38,839,896.79","25.66%"
4,"Russian Federation","$87,641,168.27","5,485 Players","Dota 2","$38,110,618.85","43.48%"
5,"Brazil","$67,019,127.97","5,482 Players","Rainbow Six Siege","$12,534,096.39","18.70%"
6,"Denmark","$61,387,735.24","2,124 Players","Counter-Strike: Global Offensive","$23,081,252.63","37.60%"
7,"France","$57,883,818.76","6,280 Players","Counter-Strike: Global Offensive","$9,837,046.88","16.99%"
8,"Sweden","$56,397,936.16","3,293 Players","Dota 2","$18,650,650.13","33.07%"
9,"Germany","$51,188,028.62","6,604 Players","Dota 2","$11,562,494.33","22.59%"
10,"Canada","$48,843,146.77","4,150 Players","Fortnite","$8,673,609.96","17.76%"
11,"United Kingdom","$46,634,871.97","5,369 Players","Fortnite","$8,335,331.86","17.87%"
12,"Japan","$38,969,226.46","3,730 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$5,800,971.79","14.89%"
13,"Ukraine","$37,714,101.53","1,608 Players","Dota 2","$22,571,154.66","59.85%"
14,"Finland","$33,354,611.82","2,145 Players","Dota 2","$17,473,145.63","52.39%"
15,"Australia","$32,261,311.36","4,199 Players","Dota 2","$8,037,226.70","24.91%"
16,"Thailand","$30,226,783.08","2,208 Players","Arena of Valor","$7,319,551.96","24.22%"
17,"Poland","$29,999,239.76","2,952 Players","Counter-Strike: Global Offensive","$8,378,847.80","27.93%"
18,"Philippines","$23,817,897.88","1,863 Players","Dota 2","$11,682,316.99","49.05%"
19,"Malaysia","$22,453,841.35","1,690 Players","Dota 2","$14,142,681.97","62.99%"
20,"Taiwan, Republic of China","$22,122,747.32","1,692 Players","League of Legends","$5,624,060.95","25.42%"
21,"Indonesia","$19,633,211.00","2,597 Players","Free Fire","$4,298,276.21","21.89%"
22,"Viet Nam","$18,348,220.97","2,682 Players","Arena of Valor","$5,040,274.48","27.47%"
23,"Netherlands","$18,091,077.08","2,157 Players","Fortnite","$3,497,884.35","19.33%"
24,"Spain","$15,055,372.36","2,680 Players","Counter-Strike: Global Offensive","$1,410,344.76","9.37%"
25,"Turkey","$13,507,222.52","1,676 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$3,721,651.81","27.55%"
26,"Norway","$13,461,973.23","1,354 Players","Fortnite","$3,279,139.04","24.36%"
27,"Saudi Arabia","$13,458,998.17","1,267 Players","Rocket League","$2,955,239.03","21.96%"
28,"Argentina","$10,177,893.24","1,455 Players","Fortnite","$2,453,512.03","24.11%"
