"Rank","Country","Total_Earnings","Number_of_Players","Top_Game","Earnings_From_Top_Game","Percent_From_Top_Game","average_earning_per_player"
1,"China",319027143.75,9009,"Dota 2","$85,737,773.44","26.87%",35412.0483682984
2,"United States",287370076.55,28023,"Fortnite","$49,472,179.53","17.22%",10254.7934393177
3,"Korea",151431684.58,5883,"League of Legends","$38,839,896.79","25.65%",25740.5549175591
4,"Russian Federation",87647289.44,5489,"Dota 2","$38,110,618.85","43.48%",15967.806420113
5,"Brazil",67066838.74,5497,"Rainbow Six Siege","$12,534,096.39","18.69%",12200.6255666727
6,"Denmark",61391897.14,2124,"Counter-Strike: Global Offensive","$23,081,252.63","37.60%",28903.9063747646
7,"France",57884540.59,6280,"Counter-Strike: Global Offensive","$9,837,046.88","16.99%",9217.28353343949
8,"Sweden",56402092.76,3293,"Dota 2","$18,650,650.13","33.07%",17127.8751169147
9,"Germany",51190960.53,6604,"Dota 2","$11,562,494.33","22.59%",7751.5082571169
10,"Canada",48843146.77,4150,"Fortnite","$8,673,609.96","17.76%",11769.4329566265
11,"United Kingdom",46641227.56,5370,"Fortnite","$8,335,331.86","17.87%",8685.51723649907
12,"Japan",38969226.46,3730,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$5,800,971.79","14.89%",10447.5137962466
13,"Ukraine",37717930.1,1608,"Dota 2","$22,571,154.66","59.84%",23456.4241915423
14,"Finland",33356947,2145,"Dota 2","$17,473,145.63","52.38%",15551.0242424242
15,"Australia",32261311.36,4199,"Dota 2","$8,037,226.70","24.91%",7683.09391759943
16,"Thailand",30226783.08,2208,"Arena of Valor","$7,319,551.96","24.22%",13689.66625
17,"Poland",29999699.77,2952,"Counter-Strike: Global Offensive","$8,378,847.80","27.93%",10162.4999220867
18,"Philippines",23817897.88,1863,"Dota 2","$11,682,316.99","49.05%",12784.7009554482
19,"Malaysia",22453841.35,1690,"Dota 2","$14,142,681.97","62.99%",13286.2966568047
20,"Taiwan, Republic of China",22122747.32,1692,"League of Legends","$5,624,060.95","25.42%",13074.9097635934
