"...1","Player ID","Player Name","Total (Last 365 Days)","Highest Paying Game","Total (Game)","% of Total","Country"
1,"Yinuo","Xu, Bicheng","$1,340,592.07","Arena of Valor","$1,340,592.07","100.00%","China"
2,"CS","Xie, Chengjun","$1,147,734.93","Arena of Valor","$1,147,734.93","100.00%","China"
2,"XuanRan","Liu, Ming","$1,147,734.93","Arena of Valor","$1,147,734.93","100.00%","China"
2,"ZhongYi","Chen, Jiahao","$1,147,734.93","Arena of Valor","$1,147,734.93","100.00%","China"
5,"UMA","Wang Yuan-hao","$1,001,476.20","Street Fighter 6","$1,001,476.20","100.00%","Taiwan, Republic of China"
6,"Cat","Chen, Zhengzheng","$945,311.10","Arena of Valor","$945,311.10","100.00%","China"
7,"ATF","Ammar Al-Assaf","$669,729.60","Dota 2","$669,729.60","100.00%","Jordan"
7,"Cr1t","Andreas Nielsen","$669,729.60","Dota 2","$669,729.60","100.00%","Denmark"
7,"Skiter","Oliver Lepko","$669,729.60","Dota 2","$669,729.60","100.00%","Slovakia"
7,"Sneyking","Wu, Jingjun","$669,729.60","Dota 2","$669,729.60","100.00%","United States"
11,"Malr1ne","Stanislav Potorak","$645,729.60","Dota 2","$645,729.60","100.00%","Russian Federation"
12,"33","Neta Shapira","$639,889.20","Dota 2","$639,889.20","100.00%","Israel"
13,"Nisha","Michał Jankowski","$634,889.20","Dota 2","$634,889.20","100.00%","Poland"
14,"Boxi","Samuel Svahn","$594,889.20","Dota 2","$594,889.20","100.00%","Sweden"
15,"iNsania","Aydin Sarkohi","$584,889.20","Dota 2","$584,889.20","100.00%","Sweden"
15,"miCKE","Michael Vu","$584,889.20","Dota 2","$584,889.20","100.00%","Sweden"
17,"DaShuai","Meng, Jiajun","$582,651.76","Arena of Valor","$582,651.76","100.00%","China"
18,"Quinn","Quinn Callahan","$562,799.80","Dota 2","$562,799.80","100.00%","United States"
19,"Pang","Li, Daheng","$554,105.02","Arena of Valor","$554,105.02","100.00%","China"
20,"Clem","Clément Desplanches","$529,170.63","StarCraft II","$528,770.63","99.92%","France"
21,"Ace","Marcus Hoelgaard","$512,799.80","Dota 2","$512,799.80","100.00%","Denmark"
21,"Seleri","Melchior Hillenkamp","$512,799.80","Dota 2","$512,799.80","100.00%","Netherlands"
21,"tOfu","Erik Engel","$512,799.80","Dota 2","$512,799.80","100.00%","Germany"
24,"NoFear","Yang, Tao","$502,620.56","Arena of Valor","$502,620.56","100.00%","China"
25,"dyrachYO","Anton Shkredov","$488,799.80","Dota 2","$488,799.80","100.00%","Russian Federation"
26,"PeterBot","Peter Kata","$457,262.50","Fortnite","$457,262.50","100.00%","United States"
27,"HuShen","Chen, Zhanpeng","$439,002.95","Arena of Valor","$439,002.95","100.00%","China"
28,"Vejrgang","Anders Vejrgang","$416,736.78","EA Sports FC 24","$416,736.78","100.00%","Denmark"
29,"Xm","Guo, Hongcheng","$415,575.00","Dota 2","$415,575.00","100.00%","China"
30,"NuanYang","Lin, Heng","$412,816.81","Arena of Valor","$412,816.81","100.00%","China"
